"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","2006-2010","Number","Median Rent",873
"Andover","0901301080","2006-2010","Number","Margins of Error",259
"Andover","0901301080","2006-2010","Ratio to State Median","Median Rent",0.89
"Andover","0901301080","2006-2010","Ratio to State Median","Margins of Error",0.26
"Andover","0901301080","2007-2011","Number","Median Rent",789
"Andover","0901301080","2007-2011","Number","Margins of Error",52
"Andover","0901301080","2007-2011","Ratio to State Median","Median Rent",0.77
"Andover","0901301080","2007-2011","Ratio to State Median","Margins of Error",0.05
"Andover","0901301080","2008-2012","Number","Median Rent",792
"Andover","0901301080","2008-2012","Number","Margins of Error",227
"Andover","0901301080","2008-2012","Ratio to State Median","Median Rent",0.76
"Andover","0901301080","2008-2012","Ratio to State Median","Margins of Error",0.22
"Andover","0901301080","2009-2013","Number","Median Rent",793
"Andover","0901301080","2009-2013","Number","Margins of Error",145
"Andover","0901301080","2009-2013","Ratio to State Median","Median Rent",0.75
"Andover","0901301080","2009-2013","Ratio to State Median","Margins of Error",0.14
"Andover","0901301080","2010-2014","Number","Median Rent",850
"Andover","0901301080","2010-2014","Number","Margins of Error",78
"Andover","0901301080","2010-2014","Ratio to State Median","Median Rent",0.8
"Andover","0901301080","2010-2014","Ratio to State Median","Margins of Error",0.07
"Andover","0901301080","2011-2015","Number","Median Rent",807
"Andover","0901301080","2011-2015","Number","Margins of Error",104
"Andover","0901301080","2011-2015","Ratio to State Median","Median Rent",0.75
"Andover","0901301080","2011-2015","Ratio to State Median","Margins of Error",0.1
"Andover","0901301080","2012-2016","Number","Median Rent",804
"Andover","0901301080","2012-2016","Number","Margins of Error",148
"Andover","0901301080","2012-2016","Ratio to State Median","Median Rent",0.73
"Andover","0901301080","2012-2016","Ratio to State Median","Margins of Error",0.14
"Ansonia","0900901220","2006-2010","Number","Median Rent",1022
"Ansonia","0900901220","2006-2010","Number","Margins of Error",54
"Ansonia","0900901220","2006-2010","Ratio to State Median","Median Rent",1.04
"Ansonia","0900901220","2006-2010","Ratio to State Median","Margins of Error",0.06
"Ansonia","0900901220","2007-2011","Number","Median Rent",1079
"Ansonia","0900901220","2007-2011","Number","Margins of Error",47
"Ansonia","0900901220","2007-2011","Ratio to State Median","Median Rent",1.06
"Ansonia","0900901220","2007-2011","Ratio to State Median","Margins of Error",0.05
"Ansonia","0900901220","2008-2012","Number","Median Rent",1105
"Ansonia","0900901220","2008-2012","Number","Margins of Error",46
"Ansonia","0900901220","2008-2012","Ratio to State Median","Median Rent",1.06
"Ansonia","0900901220","2008-2012","Ratio to State Median","Margins of Error",0.04
"Ansonia","0900901220","2009-2013","Number","Median Rent",1068
"Ansonia","0900901220","2009-2013","Number","Margins of Error",47
"Ansonia","0900901220","2009-2013","Ratio to State Median","Median Rent",1.01
"Ansonia","0900901220","2009-2013","Ratio to State Median","Margins of Error",0.04
"Ansonia","0900901220","2010-2014","Number","Median Rent",1082
"Ansonia","0900901220","2010-2014","Number","Margins of Error",54
"Ansonia","0900901220","2010-2014","Ratio to State Median","Median Rent",1.01
"Ansonia","0900901220","2010-2014","Ratio to State Median","Margins of Error",0.05
"Ansonia","0900901220","2011-2015","Number","Median Rent",1057
"Ansonia","0900901220","2011-2015","Number","Margins of Error",60
"Ansonia","0900901220","2011-2015","Ratio to State Median","Median Rent",0.98
"Ansonia","0900901220","2011-2015","Ratio to State Median","Margins of Error",0.06
"Ansonia","0900901220","2012-2016","Number","Median Rent",1031
"Ansonia","0900901220","2012-2016","Number","Margins of Error",64
"Ansonia","0900901220","2012-2016","Ratio to State Median","Median Rent",0.94
"Ansonia","0900901220","2012-2016","Ratio to State Median","Margins of Error",0.06
"Ashford","0901501430","2006-2010","Number","Median Rent",1041
"Ashford","0901501430","2006-2010","Number","Margins of Error",129
"Ashford","0901501430","2006-2010","Ratio to State Median","Median Rent",1.06
"Ashford","0901501430","2006-2010","Ratio to State Median","Margins of Error",0.13
"Ashford","0901501430","2007-2011","Number","Median Rent",962
"Ashford","0901501430","2007-2011","Number","Margins of Error",179
"Ashford","0901501430","2007-2011","Ratio to State Median","Median Rent",0.94
"Ashford","0901501430","2007-2011","Ratio to State Median","Margins of Error",0.18
"Ashford","0901501430","2008-2012","Number","Median Rent",1016
"Ashford","0901501430","2008-2012","Number","Margins of Error",217
"Ashford","0901501430","2008-2012","Ratio to State Median","Median Rent",0.97
"Ashford","0901501430","2008-2012","Ratio to State Median","Margins of Error",0.21
"Ashford","0901501430","2009-2013","Number","Median Rent",944
"Ashford","0901501430","2009-2013","Number","Margins of Error",212
"Ashford","0901501430","2009-2013","Ratio to State Median","Median Rent",0.89
"Ashford","0901501430","2009-2013","Ratio to State Median","Margins of Error",0.2
"Ashford","0901501430","2010-2014","Number","Median Rent",886
"Ashford","0901501430","2010-2014","Number","Margins of Error",87
"Ashford","0901501430","2010-2014","Ratio to State Median","Median Rent",0.83
"Ashford","0901501430","2010-2014","Ratio to State Median","Margins of Error",0.08
"Ashford","0901501430","2011-2015","Number","Median Rent",850
"Ashford","0901501430","2011-2015","Number","Margins of Error",86
"Ashford","0901501430","2011-2015","Ratio to State Median","Median Rent",0.79
"Ashford","0901501430","2011-2015","Ratio to State Median","Margins of Error",0.08
"Ashford","0901501430","2012-2016","Number","Median Rent",876
"Ashford","0901501430","2012-2016","Number","Margins of Error",128
"Ashford","0901501430","2012-2016","Ratio to State Median","Median Rent",0.8
